オーナー登録済フラグ,店名,住所,電話番号,ジャンル,評価＆口コミ点数,口コミ数,公式サイトURL,メニューURL,URL
登録済み,Xinchao,〒810-0044 福岡県 福岡市中央区 六本松2-3-17 1F,+81 80-3229-2479,,4.0 ,1件の口コミ,https://xinchao.gorp.jp/,https://r.gnavi.co.jp/hfa33c8d0000/menu2?sc_cid=gorp_menu_all_menu2,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d17390504-Reviews-Xinchao-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,博多かんべえ 別邸,〒810-0801 福岡県 福岡市博多区中洲 5-4-10 グランエターナ福岡天神橋2F,+81 50-5789-1355,居酒屋,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14135118-d9690539-Reviews-Hakata_Kambei_Bettei-Nakasu_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,だんのみせ,〒810-0042 福岡県 福岡市中央区 赤坂1-13-28 ロマネスク赤坂1F,+81 92-402-2501,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9637324,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9637324-Reviews-Dan_No_Mise-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,かこみ庵 博多駅博多口店,〒812-0011 福岡県 福岡市博多区博多駅前 3-22-5 Mビル2号館3F,+81 92-481-1919,和食,3.5 ,2件の口コミ,http://kakomian-hakata.owst.jp/en/,https://kakomian-hakata.owst.jp/en/,https://www.tripadvisor.jp/Restaurant_Review-g14135122-d12189755-Reviews-Kakomian_Hakata_Station_Hakata_Entrance-Hakataekimae_Hakata_Fukuoka_Fukuoka_Pr.html
オーナー未登録,夢の蔵,福岡県 福岡市 南区清水1-16-14,+81 92-553-9530,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7469358,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7469358-Reviews-Yume_No_Kura-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,博多海鮮 魚ふく,〒812-0016 福岡県 福岡市博多区 博多駅南1-7-14ボイス博多102 ボイス博多102,+81 50-5786-7132,,3.5 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9690576,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9690576-Reviews-Hakata_Seafood_Uofuku-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,新川コテージ,〒810-0022 福岡県 福岡市中央区 薬院3-7-30 新川コテージ1F,+81 92-522-3317,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9613861,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9613861-Reviews-Shinkawa_Cotage-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,なかはら,〒810-0004 福岡県 福岡市中央区 渡辺通1-1-1,+81 92-751-3870,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d13261461,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d13261461-Reviews-Nakahara-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,ここのあるじはだれ,〒814-0015 福岡県 福岡市 早良区室見2-16-23 ビーネンハオス 1F,+81 92-852-8900,,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d14738189,https://www.tripadvisor.jp/Restaurant_Review-g298207-d14738189-Reviews-Kokono_Arujiha_Dare-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,ふみ勝 冷泉公園店,〒812-0025 福岡県 福岡市博多区 店屋町4-18 1F,+81 92-291-9023,,4.0 ,1件の口コミ,http://www.fumikatsu.com/,https://www.tripadvisor.jp/UpdateListing-d14949350,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d14949350-Reviews-Fumikatsu_Reisen_Park-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,博多酒佳蔵,〒812-0025 福岡県 福岡市博多区 店屋町4-28 We冷泉公園,+81 50-5786-7077,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9690585,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9690585-Reviews-Hakata_Sakagura-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,Yajinke,〒810-0003 福岡県 福岡市中央区 春吉3-22-12 今村ビル1F,+81 92-762-5574,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9892671,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9892671-Reviews-Yajinke-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,コロガル石,〒810-0014 福岡県 福岡市中央区 平尾1-9-8 1F,+81 92-521-4828,居酒屋,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9936687-Reviews-Korogaru_Ishi-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,月まる海 大橋店,〒815-0033 福岡県 福岡市 南区大橋1-1‐13 2F,+81 92-557-2727,,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d14738244,https://www.tripadvisor.jp/Restaurant_Review-g298207-d14738244-Reviews-Tsukimaruumi_Ohashi-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,美山,〒810-0041 福岡県 福岡市中央区 大名1-9-24,+81 92-724-3181,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9914376,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9914376-Reviews-Miyama-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,げんき家2号店,〒812-0011 福岡県 福岡市博多区博多駅前 3-26-12,+81 92-483-9333,居酒屋,3.5 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d13241901,https://www.tripadvisor.jp/Restaurant_Review-g14135122-d13241901-Reviews-Genki_House_Second-Hakataekimae_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,風林火山 7号店,〒815-0033 福岡県 福岡市 南区大橋2-14-16 築地第2ビル1F,+81 92-554-3535,,4.0 ,1件の口コミ,https://fb4t900.gorp.jp/,https://r.gnavi.co.jp/c9y1m6yr0000/menu6?sc_cid=gorp_menu_all_menu6,https://www.tripadvisor.jp/Restaurant_Review-g298207-d17361944-Reviews-Furinkazan_No_7-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,JAZZ居酒屋＆JAM,〒810-0801 福岡県 福岡市博多区中洲 5-3-18 第44ダイセンビルB1F,+81 92-262-7681,,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9928967,https://www.tripadvisor.jp/Restaurant_Review-g14135118-d9928967-Reviews-Jazz_Izakaya_Jam-Nakasu_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,IZAKABAR signal,〒810-0801 福岡県 福岡市博多区中洲 5-3-21 第3津加佐ビル3F,+81 92-262-5554,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9956942,https://www.tripadvisor.jp/Restaurant_Review-g14135118-d9956942-Reviews-Izaka_Bar_Signal-Nakasu_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,仙八,〒810-0022 福岡県 福岡市中央区 薬院1-12-14,+81 92-731-1008,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9899964,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9899964-Reviews-Sempachi-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,大蔵,〒812-0053 福岡県 福岡市 東区箱崎7-10-45,+81 92-641-8110,,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d14738127,https://www.tripadvisor.jp/Restaurant_Review-g298207-d14738127-Reviews-Okura-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,旬鮮つるの家,〒810-0004 福岡県 福岡市中央区 渡辺通2-9-13,+81 92-724-3747,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9903338,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9903338-Reviews-Shunsen_Tsurunoya-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,三代目 鳥メロ JR香椎駅前店,〒813-0013 福岡県 福岡市 東区香椎駅前1-13-25 ロイヤルビル 2F,+81 50-1705-3624,グリル,4.0 ,1件の口コミ,https://torimero.com/kashii/,https://torimero.com/kashii/menu/,https://www.tripadvisor.jp/Restaurant_Review-g298207-d17321101-Reviews-Sandaime_Torimero_Jr_Kashii_Ekimae-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,千成屋,〒812-0014 福岡県 福岡市博多区 比恵町12-8,+81 92-431-7004,,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d15246458,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d15246458-Reviews-Sennariya-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,たけうち,〒812-0011 福岡県 福岡市博多区博多駅前 4-10-1 1F,+81 92-473-1011,居酒屋,3.5 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9909408,https://www.tripadvisor.jp/Restaurant_Review-g14135122-d9909408-Reviews-Takeuchi-Hakataekimae_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,博多海鮮道楽 ふじや,〒810-0004 福岡県 福岡市中央区 渡辺通1-9-2 セントラルハイツ1F,+81 92-688-2363,和食,4.0 ,1件の口コミ,,https://r.gnavi.co.jp/15eu78k30000/menu1/,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d13960635-Reviews-Fujiya-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
,,,,,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9936829-Reviews-Koryori_Yaguriko-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,地鶏炭火焼わびさび,〒814-0164 福岡県 福岡市 早良区賀茂3-26-1-2,+81 92-874-0757,,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d14738235,https://www.tripadvisor.jp/Restaurant_Review-g298207-d14738235-Reviews-Jidori_Sumibiyaki_Wabisabi-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,めし処一膳や,〒812-0016 福岡県 福岡市博多区 博多駅南6-9-7,+81 92-473-6733,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9912735,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9912735-Reviews-Meshi_Dokoro_Ichizenya-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,匠,〒810-0011 福岡県 福岡市中央区 高砂2-8-14,+81 92-524-1134,,4.0 ,1件の口コミ,http://www.rpro-w.com/,http://www.rpro-w.com/menu_f/,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d14941886-Reviews-Takumi-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,ぶんご,〒815-0037 福岡県 福岡市 南区玉川町6-11 大村コーポ 1F,+81 92-511-9669,,4.0 ,1件の口コミ,http://www.takamiya-bunji.com/bungo/,http://www.takamiya-bunji.com/bungo/menu.html,https://www.tripadvisor.jp/Restaurant_Review-g298207-d15264157-Reviews-Bungo-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,麒麟,〒810-0003 福岡県 福岡市中央区 春吉2-2-5,+81 92-771-5500,居酒屋,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d13197898-Reviews-Kirin-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,立ち呑み たってん,〒814-0002 福岡県 福岡市 早良区西新4-6-17,+81 92-821-1750,居酒屋,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298207-d9908377-Reviews-Tachinomi_Tatten-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,とびこ,〒815-0037 福岡県 福岡市 南区玉川町10-9,+81 92-554-7395,,3.5 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9637237,https://www.tripadvisor.jp/Restaurant_Review-g298207-d9637237-Reviews-Tobiko-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,炭焼酒場がっさい,〒810-0015 福岡県 福岡市中央区 那の川2-11-12,+81 50-5787-2329,,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9613770,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9613770-Reviews-Sumiyaki_Sakaba_Gassai-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,磯飯倶楽部,〒810-0041 福岡県 福岡市中央区 大名1-3-33 DAIMYO591ビル1F,+81 92-707-3078,,4.0 ,1件の口コミ,https://isomeshiclub.owst.jp/,https://www.tripadvisor.jp/UpdateListing-d14947944,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d14947944-Reviews-Isomeshi_Club-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,Takaseas Kitchen 添,福岡県 福岡市中央区 春吉3-13-28,+81 92-762-0022,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7468081,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d7468081-Reviews-Takasea_s_Kitchen_So-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,くいしんぼ,福岡県 福岡市博多区 博多駅東2-5-19,+81 92-472-8840,居酒屋,3.5 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d7468312-Reviews-Kuishinbo-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,活魚てーる，たん 無双,〒810-0004 福岡県 福岡市中央区 渡辺通1-10-1 四十川ビル1F,+81 92-739-3230,,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d13938987-Reviews-Muso-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,和がし圓左,〒810-0012 福岡県 福岡市中央区 白金1-12-24 1F,+81 90-3522-7533,甘味処,3.5 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d13939711-Reviews-Ensa-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,てる房TEAMJ,〒812-0011 福岡県 福岡市博多区博多駅前 4-24-2,+81 92-451-0101,,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14135122-d13938734-Reviews-Teamj-Hakataekimae_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,楽蔵 博多筑紫口店,〒812-0012 福岡県 福岡市博多区 博多駅中央街6-3 博多中央街ビル2Ｆ・3Ｆ,+81 92-432-0755,,3.5 ,7件の口コミ,http://rakuzo.dkdining.com/hakata/,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d6069451-Reviews-Rakuzo_Hakata_Chikushiguchi-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,藤蔵,〒810-0063 福岡県 福岡市中央区 唐人町3-2-5,+81 92-721-5567,,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d14948347,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d14948347-Reviews-Fujikura-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,博多一番どり 居食家 呉服町店,〒812-0036 福岡県 福岡市博多区 上呉服町10-10 呉服町ビジネスセンタービル1F,+81 92-273-1022,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9950212,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9950212-Reviews-Hakata_Ichiban_Dori_Ishoku_Ya_Arai_Gofuku_Machi-Hakata_Fukuoka_Fukuoka_Prefectu.html
オーナー未登録,海鮮酒場 魚魚,〒815-0033 福岡県 福岡市 南区大橋1-4-6 FOXビル1F,+81 50-5787-0799,日本料理,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298207-d9613839-Reviews-Seafood_Sakaba_Toto-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,博多一番どり　博多駅南店,〒812-0016 福岡県 福岡市博多区 博多駅南3-9-1,+81 92-451-6656,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d13068973,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d13068973-Reviews-Hakata_Most_Are_in_Hakataekiminami-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,なかなか家 高宮店,〒815-0037 福岡県 福岡市 南区玉川町10-5,+81 50-5786-3516,居酒屋,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298207-d9637247-Reviews-Nakanakaya_Takamiya-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,漁師居酒屋つねちゃん,福岡県 福岡市 姪の浜2-14-17,+81 92-885-7557,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7469681,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7469681-Reviews-Ryoshi_Izakayatsunechan-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,那の川亭,〒815-0081 福岡県 福岡市 南区那の川2-4-28 第12岡部ビル1F,+81 50-5786-3828,,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298207-d9672407-Reviews-Nanokawatei-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,馳走屋 いしまつ 警固店,〒810-0023 福岡県 福岡市中央区 警固2-12-20 オークビル3,+81 92-712-5615,居酒屋,3.5 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9672424,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9672424-Reviews-Chisoya_Ishimatsu_Kego-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,なすびの花,〒812-0013 福岡県 福岡市博多区 博多駅東2-2-2,+81 92-413-0002,居酒屋,4.0 ,1件の口コミ,http://www.nasubinohana.com/,http://www.nasubinohana.com/#menu,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d13453978-Reviews-Nasubi_no_Hana-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,芋 石丸本店,〒819-0025 福岡県 福岡市 石丸3-45-13,+81 92-885-7233,居酒屋,4.0 ,2件の口コミ,http://imo-imo-imo.net/ishimaru/index.html,,https://www.tripadvisor.jp/Restaurant_Review-g298207-d6063242-Reviews-Imo_Ishimaru_Honten-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,肉串 鍋処 秀邑,〒810-0004 福岡県 福岡市中央区 渡辺通5-24-30 東カン福岡第一ビルB1F,+81 92-725-5167,,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9672516-Reviews-Nikugushi_Nabedoko_Hidemura-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,旬彩酒房 李庵,〒810-0004 福岡県 福岡市中央区 渡辺通5-24-30 東カン第一福岡ビルB108,+81 92-791-1703,,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9903264,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9903264-Reviews-Shunsai_Shubo_Rian-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,宝船,〒810-0001 福岡県 福岡市中央区天神 1-2-31,+81 92-716-7006,居酒屋,3.5 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9909163,https://www.tripadvisor.jp/Restaurant_Review-g14135106-d9909163-Reviews-Takara_Bune-Tenjin_Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,コチネレ,福岡県 福岡市中央区 春吉3-22-8,+81 92-716-6855,パブ,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d7468379-Reviews-Coccinelle-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,焼鳥居酒屋 孝次 川端商店街店,〒812-0026 福岡県 福岡市博多区 上川端町4-215,+81 50-5785-1023,居酒屋,,,,https://www.tripadvisor.jp/UpdateListing-d9613793,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9613793-Reviews-Yakitori_Izakaya_Koji_Kawabata_Shotengai-Hakata_Fukuoka_Fukuoka_Prefecture_Kyus.html
オーナー未登録,旬魚と地酒 なか山,〒812-0026 福岡県 福岡市博多区 上川端町10-15 ローズマンション川端B1,+81 92-281-5350,居酒屋,4.0 ,1件の口コミ,http://www.syungyotojizake-nakayama.com/,https://www.tripadvisor.jp/UpdateListing-d9613856,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9613856-Reviews-Shungyo_to_Jizake_Nakayama-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,長浜屋台やまちゃん中洲店,〒810-0801 福岡県 福岡市博多区中洲 2-4-18,+81 92-262-7882,,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14135118-d13069709-Reviews-Nagahama_Yatai_Yamachan_Nakasu-Nakasu_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,九州情熱劇場 日はまた昇る 博多駅前店,〒812-0011 福岡県 福岡市博多区博多駅前 3-5-23,+81 92-409-0538,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d13076880,https://www.tripadvisor.jp/Restaurant_Review-g14135122-d13076880-Reviews-Kyushu_Jonetsu_Gekijo_Hiwa_Mata_Noboru_Hakata_Ekimae-Hakataekimae_Hakata_Fukuo.html
オーナー未登録,喜鳥,〒810-0003 福岡県 福岡市中央区 春吉3-15-12,+81 92-734-1055,,4.0 ,1件の口コミ,http://www.haruyoshi-kidori.com/,http://www.haruyoshi-kidori.com/menu.html,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9933451-Reviews-Kidori-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,20世紀居酒屋TAKAYA,〒810-0014 福岡県 福岡市中央区 平尾2-2-21 シテイマンション平尾2-1F,+81 92-523-1019,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9958617,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9958617-Reviews-20Th_Century_Izakaya_Takaya-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,そらや,〒810-0005 福岡県 福岡市中央区 清川3-25-15,+81 92-531-3991,居酒屋,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9637225-Reviews-Soraya-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,GOLF BAR QUAD,〒810-0801 福岡県 福岡市博多区中洲 5-2-1 ジェイパークビル5F,+81 50-5798-1092,,3.5 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14135118-d9661086-Reviews-Golf_Bar_Quad-Nakasu_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,くぼや,〒812-0024 福岡県 福岡市博多区 綱場町3-11,+81 92-282-7021,居酒屋,3.5 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9937296,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9937296-Reviews-Kuboya-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,楽風,〒810-0001 福岡県 福岡市中央区天神 3-6-18 2F,+81 92-752-5955,居酒屋,4.0 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14135106-d9924144-Reviews-Rafu-Tenjin_Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,芫,福岡県 福岡市中央区 清川1-2-22,+81 92-531-0957,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7469883,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d7469883-Reviews-Gen-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,居酒屋がんこ,〒810-0073 福岡県 福岡市中央区 舞鶴1-1-30 天神ウイングビル2 2F,+81 92-739-7101,居酒屋,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9649162-Reviews-Ganko-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,原始ろばた焼 ホワイトハウス,〒810-0044 福岡県 福岡市中央区 六本松4-9-10 1F,+81 92-724-7307,和食（その他）,4.0 ,1件の口コミ,http://fukuoka-whitehouse.com/,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9690531-Reviews-Genshi_Robatayaki_White_House-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,とくや,〒810-0035 福岡県 福岡市中央区 梅光園1-2-9 1F,+81 92-761-7856,居酒屋,3.5 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9912498,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9912498-Reviews-Tokuya-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,旬鮨季酒 赤石,〒810-0022 福岡県 福岡市中央区 薬院3-7-8 スクエア薬院プレミアム1F,+81 92-523-6061,海鮮・シーフード,3.5 ,5件の口コミ,http://aka-ishi.com/,http://aka-ishi.com/menu.html,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d8380934-Reviews-Shun_Shikishu_Akaishi-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,酒膳村かみ,〒810-0023 福岡県 福岡市中央区 警固2-12-17,+81 92-714-5650,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9903498,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9903498-Reviews-Shuzen_Mura_Kami-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,膳五郎,〒810-0023 福岡県 福岡市中央区 警固3-1-1,+81 92-724-3800,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d12259605,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d12259605-Reviews-Zengoro-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,奈綸の店,〒814-0002 福岡県 福岡市 早良区西新4-8-34 SAZA21ビル2F,+81 92-831-8407,,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9917195,https://www.tripadvisor.jp/Restaurant_Review-g298207-d9917195-Reviews-Nao_No_Mise-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,魚民 吉塚東口駅前店,〒812-0046 福岡県 福岡市博多区 吉塚本町9-15 福岡県中小企業振興センタービル1F,+81 92-624-8688,居酒屋,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9672412-Reviews-Uotami_Yoshizuka_Higashiguchi_Ekimae-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
